	RT	stds2	relation.id	relation.ship
374.0628147403771	1.543280005455017	20323.64453125	0	M+H
349.99314421842723	4.449470043182373	6177.111328125	286	M+HC13
351.9898361511942	5.912869930267334	5300.00244140625	168	M+HC13
111.96813316961914	7.380539894104004	3749.09521484375	3	M+H
240.16452913435322	5.912869930267334	6543.05908203125	93	M+HC13
287.8883694529157	4.449470043182373	5663.88623046875	5	M+H
138.99112510238507	5.912869930267334	3144.67578125	6	M+H
158.9717776075535	5.912869930267334	5197.013671875	19	M+H2C13
167.99826990104765	5.912869930267334	3523.651123046875	8	M+H
168.91913642864543	8.859720230102539	3568.79345703125	9	M+H
237.14541844410132	5.912869930267334	3978.923095703125	10	M+H
247.9426600286857	5.912869930267334	5392.3056640625	11	M+H
82.9990655241816	2.9834299087524414	2928.416259765625	12	M+H
98.0135116915822	4.449470043182373	6150.052734375	13	M+H
110.02422984486283	2.9834299087524414	4676.16357421875	14	M+H
172.95601548966874	5.912869930267334	7318.4375	15	M+H
84.09182456068066	8.859720230102539	13637.1962890625	16	M+H
99.0135470164263	2.9834299087524414	6864.51904296875	17	M+H
115.09458380501539	1.543280005455017	5076.66259765625	18	M+H
156.9656914418456	2.9834299087524414	7290.32666015625	19	M+H
84.08981824442833	8.859720230102539	20157.40234375	20	M+H
97.96864277756009	5.912869930267334	4867.38720703125	21	M+H
161.9691917738048	5.912869930267334	4787.876953125	22	M+H
224.00746332735022	1.543280005455017	9166.119140625	23	M+H
255.0623597033426	8.859720230102539	4360.3291015625	24	M+H
325.91999821747413	11.821900367736816	4509.7431640625	25	M+H
204.96636226620524	17.79560089111328	3141.591064453125	26	M+H
90.00693051565521	2.9834299087524414	11519.3505859375	27	M+H
142.9616068658947	4.449470043182373	6177.525390625	345	M+HC13
133.02805796347582	14.81879997253418	4983.3681640625	29	M+H
107.04893824694717	17.79560089111328	5439.4208984375	30	M+H
116.52398091936553	2.9834299087524414	23155.732421875	31	M+H
213.10928324804107	13.320099830627441	4047.010498046875	32	M+H
135.10124701172919	10.33810043334961	6503.404296875	33	M+H
85.04745708906232	2.9834299087524414	8937.1689453125	34	M+H
148.9752225853518	5.912869930267334	10372.7861328125	35	M+H
131.9739697831001	4.449470043182373	9985.0771484375	36	M+H
179.10634030038136	1.543280005455017	16262.390625	37	M+H
223.1114040385093	1.543280005455017	12126.6201171875	38	M+H
180.98949396933847	4.449470043182373	26120.810546875	39	M+H
84.09539188987249	14.81879997253418	9977.3046875	40	M+H
183.9881930339942	4.449470043182373	26328.4609375	1743	M+HC13
139.96297790234826	5.912869930267334	12377.966796875	42	M+H
84.0638159135101	2.9834299087524414	70738.5234375	43	M+H
84.06383976939203	25.377199172973633	35728.3046875	44	M+H
102.1274963789312	16.309499740600586	11527.0185546875	45	M+H
84.07373693192994	10.33810043334961	18625.4921875	46	M+H
133.10500560902062	29.922300338745117	2771.093017578125	47	M+H
181.9878782559974	4.449470043182373	17555.361328125	48	M+H
271.91605784233286	5.912869930267334	20994.751953125	49	M+H
271.9161029056594	36.041099548339844	7197.28271484375	50	M+H
81.50611561410474	42.1067008972168	1867.1258544921875	51	M+H
105.03323748369883	48.26340103149414	1856.7015380859375	52	M+H
144.10164146144172	36.041099548339844	4777.5703125	53	M+H
85.0646008348195	5.912869930267334	14342.392578125	54	M+H
85.06459919990331	32.98649978637695	11594.267578125	55	M+H
163.0597764573393	5.912869930267334	13422.7890625	56	M+H
185.1142703507517	4.449470043182373	13734.185546875	57	M+H
84.08517052296519	2.9834299087524414	37163.31640625	58	M+H
124.03671216655503	8.859720230102539	13427.12890625	59	M+H
125.00233821228548	57.470699310302734	4416.41064453125	60	M+H
185.98445554551301	58.9995002746582	3062.5244140625	61	M+H
90.53007574674093	60.51240158081055	3524.6435546875	62	M+H
85.08182311017437	65.11799621582031	1607.503173828125	63	M+H
202.97945090613428	19.30389976501465	9472.013671875	64	M+H
240.04771738600718	57.470699310302734	4457.44873046875	214	M+IsoProp+H
70.51431897045701	60.51240158081055	8124.04150390625	66	M+H
86.76346420043056	46.727298736572266	3515.688720703125	67	M+H
120.98062810423427	8.859720230102539	15293.4189453125	68	M+H
120.98064934556702	31.45210075378418	13340.4033203125	69	M+H
219.04699078005638	5.912869930267334	22650.677734375	70	M+H
309.20319243949154	2.9834299087524414	33521.27734375	71	M+H
84.08821734671382	34.52239990234375	17334.720703125	72	M+H
