	RT	std1	relation.id	relation.ship
137.09586846142474	1.7820199728012085	3827.83837890625	0	M+H
162.03379343501422	3.2331700325012207	2253.1484375	1	M+H
192.10748690109418	1.7820199728012085	3772.81005859375	207	M+HC13
199.09379920754813	4.687689781188965	7402.5126953125	3	M+H
216.9504868064715	1.7820199728012085	3677.189208984375	4	M+H
260.2217810215494	1.7820199728012085	3249.677734375	5	M+H
266.9272238894159	1.7820199728012085	3831.542236328125	6	M+H
73.02849091883289	4.687689781188965	2488.38037109375	7	M+H
103.0751042270516	3.2331700325012207	5611.9541015625	8	M+H
103.09453397703679	1.7820199728012085	4619.681640625	9	M+H
111.55798800662039	1.7820199728012085	4852.337890625	10	M+H
113.03555497852393	6.168960094451904	3902.80810546875	11	M+H
165.08830854487522	10.643799781799316	3299.286376953125	12	M+H
193.08357173091986	12.142600059509277	2888.91552734375	13	M+H
271.26293082426855	1.7820199728012085	6930.24658203125	14	M+H
536.1656361100343	1.7820199728012085	4161.1103515625	15	M+H
118.0942403455044	4.687689781188965	1820.6712646484375	16	M+H
128.33672429142888	1.7820199728012085	3986.47509765625	17	M+H
157.04699961125047	1.7820199728012085	3900.705322265625	18	M+H
236.07386084809755	1.7820199728012085	8944.828125	54	M+NH4
128.07031636888635	7.660260200500488	3314.26806640625	48	M+NH4
240.1649974551352	1.7820199728012085	7467.0927734375	168	M+HC13
124.03672249565582	7.660260200500488	3243.1083984375	22	M+H
183.08075121965726	6.168960094451904	4381.302734375	23	M+H
222.0007461486348	3.2331700325012207	7440.58154296875	24	M+H
249.99545415531946	6.168960094451904	2405.66943359375	25	M+H
83.08533436626259	10.643799781799316	3534.233154296875	26	M+H
152.94693224877457	1.7820199728012085	13070.8017578125	27	M+H
119.02533896880169	12.142600059509277	8209.763671875	28	M+H
150.01400249146488	13.63659954071045	1937.9576416015625	29	M+H
158.09636332992287	1.7820199728012085	3318.2099609375	30	M+H
238.1491160044273	10.643799781799316	2315.283935546875	31	M+H
252.15926015322052	6.168960094451904	3869.641357421875	32	M+H
71.04924800568591	15.139300346374512	3944.561279296875	33	M+H
83.04933426413623	9.146519660949707	7638.56396484375	34	M+H
122.05917984434792	16.644699096679688	1993.5997314453125	35	M+H
181.0283479066116	15.139300346374512	5804.54248046875	36	M+H
182.96459690477423	12.142600059509277	3702.942138671875	37	M+H
183.0107713651624	22.690099716186523	2891.23974609375	38	M+H
103.03887057206676	10.643799781799316	3423.64306640625	39	M+H
140.99562987010657	12.142600059509277	4410.61376953125	40	M+H
170.4878417729506	10.643799781799316	3087.046875	41	M+H
183.0240060113535	12.142600059509277	1579.3372802734375	42	M+H
125.990572318207	15.139300346374512	2762.2861328125	43	M+H
146.99217652907	22.690099716186523	3911.138671875	44	M+H
304.89138023970827	12.142600059509277	6697.2412109375	45	M+H
224.12780109467582	25.70170021057129	4160.83837890625	46	M+H
97.06482154605776	10.643799781799316	14942.0234375	47	M+H
111.04390490052549	9.146519660949707	5888.35498046875	48	M+H
135.0439315928091	1.7820199728012085	6723.89697265625	49	M+H
141.9536500452373	22.690099716186523	2288.923828125	50	M+H
172.9949181302588	3.2331700325012207	4925.3154296875	51	M+H
189.96607222320225	19.666500091552734	7138.53515625	52	M+H
195.0988468278046	27.214099884033203	4078.753662109375	53	M+H
219.04726594426563	6.168960094451904	13152.8203125	54	M+H
72.009163857375	21.179800033569336	2174.0009765625	55	M+H
89.5161178660747	27.214099884033203	1856.60107421875	56	M+H
94.06008745462353	24.195999145507812	2151.298095703125	57	M+H
197.95206834905295	16.644699096679688	4087.956298828125	58	M+H
103.53165074408386	28.736799240112305	4998.1787109375	59	M+H
75.03233480676862	24.195999145507812	2865.6005859375	60	M+H
89.52946296393154	25.70170021057129	3134.297119140625	61	M+H
94.06192836936614	24.195999145507812	1912.552734375	62	M+H
111.00937274571405	22.690099716186523	3685.392822265625	63	M+H
125.97932267621533	19.666500091552734	2255.481201171875	64	M+H
182.91880635061082	22.690099716186523	3879.95654296875	65	M+H
183.05120414617508	25.70170021057129	3726.02978515625	66	M+H
189.60686757753624	13.63659954071045	8461.2666015625	67	M+H
79.51955521713064	19.666500091552734	2721.46630859375	68	M+H
97.00776121181438	25.70170021057129	3502.952392578125	69	M+H
122.05762346393361	7.660260200500488	5234.2578125	70	M+H
122.05761685459883	27.214099884033203	4557.02978515625	71	M+H
125.98303000769043	19.666500091552734	2733.7294921875	72	M+H
146.029662592541	22.690099716186523	6210.4140625	88	M+ACN+H
146.02968183550902	4.687689781188965	6894.63232421875	87	M+ACN+H
230.88969860610092	27.214099884033203	5482.01513671875	75	M+H
417.845966545558	28.736799240112305	2686.426513671875	76	M+H
104.52329378575133	19.666500091552734	7686.85205078125	77	M+H
110.00887207369539	28.736799240112305	22018.84375	78	M+H
121.96618434516104	24.195999145507812	8039.74169921875	79	M+H
142.96177225253683	28.736799240112305	7075.16015625	801	M+HC13
186.00717189097548	1.7820199728012085	11459.2822265625	81	M+H
186.00712646263796	21.179800033569336	6355.37353515625	82	M+H
237.14584756290597	4.687689781188965	8869.1767578125	83	M+H
77.99880367171211	30.25950050354004	11829.857421875	249	M+ACN+2H
92.52231909803639	21.179800033569336	6522.21044921875	85	M+H
97.96885933540406	27.214099884033203	4446.44580078125	86	M+H
105.0031769777567	4.687689781188965	9489.3466796875	87	M+H
105.00316946924167	25.70170021057129	8399.849609375	88	M+H
87.00409707828426	28.736799240112305	8449.8134765625	89	M+H
87.00405528826467	7.660260200500488	3373.699462890625	121	M+H+NH4
