	RT	stds1	relation.id	relation.ship
259.936895989355	9.624659538269043	1463.2530517578125	0	M+H
143.9587680812025	4.970439910888672	7533.92626953125	1	M+H
81.51617170905358	18.89929962158203	4501.95263671875	2	M+H
141.96592966132914	14.260100364685059	1798.94140625	3	M+H
341.9038487352242	17.3528995513916	2712.1123046875	4	M+H
161.9692056619238	4.970439910888672	6093.22998046875	5	M+H
428.8350167374355	8.076959609985352	3682.6044921875	6	M+H
84.09399880348167	18.89929962158203	7895.83935546875	7	M+H
110.5413159771924	23.56399917602539	2200.52783203125	8	M+H
403.8978931418514	26.671300888061523	5669.166015625	9	M+H
293.97022298534904	28.225200653076172	2633.302490234375	10	M+H
106.00782156354877	37.562599182128906	2097.3154296875	11	M+H
169.0856798476691	45.30820083618164	1251.0531005859375	12	M+H
284.9282417269249	39.11140060424805	5052.2158203125	13	M+H
186.98061560971087	6.520979881286621	22815.7578125	14	M+H
434.8529168880971	48.42639923095703	4640.8466796875	15	M+H
241.96374178535535	49.99580001831055	3652.512939453125	16	M+H
90.52943208111971	51.56129837036133	1470.9537353515625	17	M+H
126.00464650271509	53.125999450683594	1613.2044677734375	18	M+H
180.1354438352005	56.222801208496094	2982.40673828125	19	M+H
262.946316619534	57.75429916381836	1914.034912109375	20	M+H
270.9535154317029	57.75429916381836	1415.5755615234375	21	M+H
99.03337802094488	60.83340072631836	1663.3721923828125	22	M+H
236.90639787273713	20.462499618530273	15331.6611328125	23	M+H
236.90650531177712	37.562599182128906	13449.30859375	24	M+H
396.88363673663616	57.75429916381836	2060.308837890625	25	M+H
100.50995564943207	6.520979881286621	7464.52001953125	26	M+H
112.05094089737678	63.943199157714844	2224.2021484375	27	M+H
201.99551786298923	68.60399627685547	2533.1005859375	28	M+H
217.10692804842893	20.462499618530273	10289.3125	29	M+H
351.8963287719862	76.31759643554688	1666.0791015625	30	M+H
75.04398812087405	73.24019622802734	1737.7161865234375	31	M+H
462.8448353357701	74.78160095214844	4214.33056640625	32	M+H
99.53108665876385	18.89929962158203	4805.0166015625	33	M+H
99.53107533868146	71.6874008178711	4229.50048828125	34	M+H
99.53110154982042	46.862998962402344	3933.7421875	35	M+H
99.53110867881652	60.83340072631836	3069.232666015625	36	M+H
104.5232081286411	23.56399917602539	8418.0927734375	37	M+H
104.52319497018297	53.125999450683594	6627.64404296875	699	M+ACN+2H
123.96419489990173	28.225200653076172	9532.9736328125	39	M+H
183.98809488252402	20.462499618530273	19163.65234375	40	M+H
183.98807625204242	28.225200653076172	15866.48828125	41	M+H
87.00393628481517	6.520979881286621	7332.130859375	42	M+H
87.0039299267849	29.789100646972656	8424.06640625	43	M+H
129.01982203853032	36.009700775146484	6657.349609375	44	M+H
276.99844617168526	79.393798828125	2040.9593505859375	45	M+H
129.05196503369007	56.222801208496094	22173.212890625	46	M+H
129.0519683012373	28.225200653076172	19541.490234375	47	M+H
130.01658717153273	73.24019622802734	7418.78173828125	48	M+H
130.01654702791245	22.02359962463379	6624.3544921875	49	M+H
77.99875277828791	25.116199493408203	16963.029296875	50	M+H
87.08030574940436	45.30820083618164	12431.0849609375	51	M+H
87.08032098321502	25.116199493408203	12934.0234375	52	M+H
102.9700341558014	49.99580001831055	13143.283203125	53	M+H
166.97381272898107	79.393798828125	1809.3702392578125	54	M+H
170.95732377502262	56.222801208496094	13140.3896484375	55	M+H
79.0178529647254	25.116199493408203	75019.9609375	56	M+H
79.01785028552669	42.212398529052734	65630.984375	57	M+H
99.51216167904562	6.520979881286621	21484.330078125	58	M+H
162.07014740710076	42.212398529052734	7037.90380859375	59	M+H
83.5359735612937	43.76319885253906	10062.2705078125	60	M+H
83.53597654188135	60.83340072631836	10954.115234375	61	M+H
94.03774056581318	90.06300354003906	2111.817138671875	62	M+H
110.0086063448091	26.671300888061523	29332.1328125	63	M+H
122.53197282250404	91.58219909667969	1842.8404541015625	64	M+H
130.79890307320792	85.49220275878906	1455.6461181640625	65	M+H
82.01377680362282	8.076959609985352	9025.85546875	66	M+H
82.01376038142438	60.83340072631836	8685.5244140625	67	M+H
143.99665047649742	67.04100036621094	162469.75	68	M+H
143.99664684760455	18.89929962158203	151714.3125	69	M+H
171.99138516147124	56.222801208496094	52963.94140625	70	M+H
171.99139799392813	31.35650062561035	48738.05859375	71	M+H
204.9566613274231	63.943199157714844	18478.966796875	72	M+H
204.95664158339463	37.562599182128906	12986.65234375	73	M+H
204.9566788814731	73.24019622802734	15329.9638671875	74	M+H
341.26582627073475	93.09600067138672	5771.30419921875	75	M+H
379.1302635760325	94.6187973022461	1602.8165283203125	76	M+H
468.38928079143886	91.58219909667969	4135.833984375	77	M+H
70.01265184929983	29.789100646972656	138073.921875	78	M+H
83.03753330631798	51.56129837036133	8918.0703125	79	M+H
83.03753626760512	22.02359962463379	9896.4111328125	80	M+H
91.02742146483226	40.66450119018555	20178.0078125	81	M+H
239.16134052292946	39.11140060424805	22589.8671875	82	M+H
239.16133683042466	71.6874008178711	22978.953125	83	M+H
284.29454691703427	94.6187973022461	3965.542724609375	84	M+H
297.973765452614	91.58219909667969	2609.943115234375	85	M+H
94.03887639730401	85.49220275878906	2929.2529296875	86	M+H
209.0423643522996	93.09600067138672	5505.24755859375	87	M+H
261.96071509118207	82.45680236816406	7374.1162109375	88	M+H
278.20851027567335	90.06300354003906	3852.647705078125	89	M+H
333.2995531112991	88.53060150146484	4152.533203125	90	M+H
82.0222394148066	22.02359962463379	53453.87890625	91	M+H
82.02224267946737	74.78160095214844	51413.04296875	92	M+H
