	RT	std2	relation.id	relation.ship
84.09235955458905	4.608449935913086	3312.193359375	0	M+H
158.1170872609741	3.166059970855713	4325.71826171875	1	M+H
83.0524871585939	3.166059970855713	6913.533203125	2	M+H
84.08900034476942	8.9966402053833	5162.85302734375	3	M+H
188.9782030348537	8.9966402053833	4914.4716796875	4	M+H
216.01123904278722	1.748289942741394	8612.4091796875	5	M+H
242.03468049550355	8.9966402053833	8844.115234375	6	M+H
94.0644945367327	6.0664801597595215	2452.152099609375	7	M+H
117.05437473241275	3.166059970855713	7418.50634765625	8	M+H
123.01363984471206	3.166059970855713	4101.7236328125	9	M+H
129.09085798052794	4.608449935913086	6045.69482421875	10	M+H
276.89687890195546	7.527480125427246	5585.91162109375	11	M+H
130.96654473521863	8.9966402053833	5437.8076171875	12	M+H
282.91029844879944	6.0664801597595215	3716.93505859375	13	M+H
84.07801982129547	16.444900512695312	11057.509765625	14	M+H
304.8912701426395	7.527480125427246	13731.287109375	15	M+H
128.5135313653524	10.477299690246582	6110.30615234375	16	M+H
84.07665094849534	7.527480125427246	9180.1865234375	17	M+H
84.08922939303058	14.93529987335205	4040.544677734375	18	M+H
115.52687042393849	8.9966402053833	6848.41064453125	19	M+H
131.1177713669906	13.446700096130371	3732.98974609375	20	M+H
129.0520446440762	1.748289942741394	32562.7578125	21	M+H
141.96357500310341	19.455400466918945	3870.048095703125	22	M+H
276.89686446950424	14.93529987335205	5190.09619140625	23	M+H
277.96502849581503	3.166059970855713	22318.072265625	122	M+ACN+H
102.05243452718902	7.527480125427246	10522.521484375	25	M+H
183.00594449937776	23.94770050048828	7017.01416015625	37	M+H
219.04718919729473	3.166059970855713	22315.587890625	27	M+H
201.0080554208187	3.166059970855713	16580.7109375	28	M+H
145.9542593721716	20.949800491333008	2855.29541015625	29	M+H
185.98885267919457	23.94770050048828	6413.552734375	30	M+H
85.07774341758734	11.959500312805176	4691.97705078125	31	M+H
102.01660772801759	23.94770050048828	9346.7890625	32	M+H
161.49430390006654	25.447599411010742	5987.33447265625	33	M+H
248.90046816564538	20.949800491333008	7447.62939453125	34	M+H
90.52274522337635	28.452499389648438	3661.17724609375	35	M+H
182.99435216335488	19.455400466918945	12156.806640625	36	M+H
183.0059637764867	23.94770050048828	7017.01416015625	37	M+H
101.00328756674399	3.166059970855713	22182.724609375	38	M+H
156.9658337712121	8.9966402053833	8320.205078125	39	M+H
153.0390733593045	26.95159912109375	3125.75146484375	40	M+H
101.98087791503434	29.94849967956543	2352.1044921875	41	M+H
102.0417114158968	25.447599411010742	21775.564453125	42	M+H
121.06463807507924	31.452800750732422	4598.53564453125	43	M+H
396.8817077890222	37.50230026245117	5651.44677734375	44	M+H
119.02528047631503	8.9966402053833	16401.361328125	45	M+H
91.50466481157925	8.9966402053833	22265.08984375	46	M+H
141.95453554630973	39.01890182495117	3127.194091796875	47	M+H
183.98164852336447	42.04859924316406	6213.22265625	48	M+H
102.0044099774035	19.455400466918945	5128.35546875	49	M+H
102.06791671989966	49.62770080566406	5772.20654296875	50	M+H
166.98483092119397	42.04859924316406	2751.880859375	51	M+H
182.99268458618732	19.455400466918945	11725.349609375	52	M+H
73.54888400794799	45.082000732421875	1866.2093505859375	53	M+H
99.01381042830465	22.449800491333008	8554.9384765625	54	M+H
99.01377349880241	39.01890182495117	6779.06201171875	55	M+H
100.51006028283433	7.527480125427246	12850.6552734375	56	M+H
102.01299868375455	46.59640121459961	12336.05078125	57	M+H
181.9880803795679	10.477299690246582	29747.611328125	58	M+H
102.01892933587973	48.11520004272461	11433.5498046875	59	M+H
103.09447990260777	3.166059970855713	19701.841796875	4247	M+HC13
287.8886895989185	22.449800491333008	30729.65625	61	M+H
102.08182248670387	43.565101623535156	4062.809814453125	62	M+H
102.08181881008674	25.447599411010742	3932.8173828125	63	M+H
170.95733660066375	48.11520004272461	2913.442626953125	64	M+H
90.52064052201047	55.7047004699707	3127.351806640625	65	M+H
231.97101441354522	54.187198638916016	3469.33837890625	66	M+H
148.97546478511507	54.187198638916016	9749.201171875	67	M+H
90.53256759694399	57.225101470947266	1908.4525146484375	68	M+H
156.01394441049985	1.748289942741394	17594.453125	69	M+H
230.8898761767166	48.11520004272461	5813.31787109375	70	M+H
87.00405290163505	28.452499389648438	12631.2861328125	100	M+ACN+2H
77.99879998152038	20.949800491333008	19356.01171875	72	M+H
77.99878108236892	34.47700119018555	22523.490234375	369	M+ACN+2H
81.50819007761329	46.59640121459961	2930.69580078125	74	M+H
