	RT	Stds1	relation.id	relation.ship
181.95054004046375	7.655819892883301	2984.138916015625	0	M+H
135.10141767823416	3.2595999240875244	2434.58056640625	1	M+H
303.88340281448495	1.7975200414657593	4584.57470703125	2	M+H
107.07018761948535	4.720680236816406	7805.595703125	3	M+H
187.13273691156428	3.2595999240875244	2839.754638671875	4	M+H
144.13825102370862	4.720680236816406	2015.5753173828125	5	M+H
225.9868134644359	7.655819892883301	3958.366943359375	6	M+H
228.00712699267098	9.11892032623291	5588.6318359375	161	M+ACN+H
196.10778672446654	3.2595999240875244	6298.87890625	8	M+H
185.9831547655421	4.720680236816406	3607.863525390625	9	M+H
241.9983750128518	7.655819892883301	3965.100341796875	10	M+H
288.91889593943284	1.7975200414657593	5499.31689453125	11	M+H
316.91390562348727	13.497900009155273	2068.968994140625	12	M+H
83.05502058984419	9.11892032623291	5066.85546875	13	M+H
89.05967161825257	7.655819892883301	2861.490234375	14	M+H
145.08576746234618	4.720680236816406	2039.1004638671875	15	M+H
231.02860207635237	7.655819892883301	3391.728515625	74	M+2ACN+H
245.9931828540371	9.11892032623291	4655.54150390625	44	M+ACN+H
76.0789192986121	6.186359882354736	3957.48828125	18	M+H
133.03283891693022	10.579500198364258	3798.54248046875	19	M+H
153.95575946049422	1.7975200414657593	8703.0234375	20	M+H
217.99790016645795	7.655819892883301	8652.5791015625	38	M+ACN+H
72.08084491769004	4.720680236816406	4370.73193359375	22	M+H
76.07286439460509	25.203500747680664	4243.90478515625	23	M+H
183.01602867009342	19.363100051879883	2805.86865234375	24	M+H
182.94812374938724	22.28059959411621	2062.87548828125	25	M+H
182.9646570117811	23.738800048828125	5027.76025390625	26	M+H
135.9451889666432	7.655819892883301	5547.2744140625	27	M+H
96.04432599144519	4.720680236816406	4915.1494140625	81	M+NH4
183.00943305915175	32.50579833984375	4253.95703125	29	M+H
183.02599794556374	22.28059959411621	2700.013427734375	30	M+H
270.19235350014714	1.7975200414657593	11012.5810546875	31	M+H
76.08061706989876	23.738800048828125	2194.739990234375	32	M+H
118.08611735009337	7.655819892883301	5274.0283203125	574	M+CH3OH+H
183.0045257321374	23.738800048828125	4073.443359375	34	M+H
183.0227176029845	23.738800048828125	2303.62646484375	35	M+H
189.48880807688369	31.04680061340332	2066.737060546875	36	M+H
76.07058842923995	9.11892032623291	2697.197265625	37	M+H
176.9718029273559	3.2595999240875244	16198.09375	38	M+H
328.9154662090058	26.669200897216797	21608.80078125	39	M+H
89.50137179925808	33.96969985961914	3404.835693359375	102	M+H+Na
158.97192473323207	9.11892032623291	4340.00439453125	41	M+H
168.9191974097258	29.587299346923828	2418.37158203125	42	M+H
142.95898498740524	32.50579833984375	4362.18310546875	90	M+K
204.96663865713592	4.720680236816406	10069.3359375	44	M+H
326.92008258968355	31.04680061340332	4748.7548828125	45	M+H
304.89144741408927	13.497900009155273	17145.490234375	46	M+H
232.92807385847735	38.37730026245117	2060.504150390625	47	M+H
102.08600909972387	29.587299346923828	3083.6650390625	48	M+H
209.9458195120392	39.852500915527344	12239.4765625	49	M+H
164.94801124095173	26.669200897216797	3518.68505859375	50	M+H
175.49160112626586	32.50579833984375	13158.435546875	51	M+H
131.16212950589474	51.701499938964844	2289.3740234375	52	M+H
139.9631038789458	31.04680061340332	10474.8916015625	53	M+H
146.4967570652342	51.701499938964844	3311.39453125	54	M+H
102.02032421201967	50.20930099487305	6653.4111328125	55	M+H
83.05351130827664	26.669200897216797	5077.60693359375	56	M+H
83.05340206735168	57.649600982666016	4021.312744140625	57	M+H
84.07892436559739	62.13600158691406	4069.099609375	58	M+H
119.08148412081353	9.11892032623291	7110.22119140625	59	M+H
208.98458730963054	56.15890121459961	1881.4869384765625	60	M+H
277.97527747690657	63.641998291015625	3139.172119140625	61	M+H
102.02902688456588	51.701499938964844	20059.994140625	62	M+H
102.02910640500632	42.800498962402344	21173.73828125	63	M+H
102.03898453351425	12.038000106811523	18085.08984375	64	M+H
110.0095591609193	26.669200897216797	12283.486328125	65	M+H
110.0095218708094	45.763999938964844	9846.3837890625	66	M+H
110.00942417054591	66.6498031616211	6351.52001953125	67	M+H
437.90858872626524	68.14859771728516	5669.93603515625	68	M+H
90.09134935115304	4.720680236816406	68618.5234375	69	M+H
90.09133917252178	14.967700004577637	35181.546875	70	M+H
134.98662137818	54.67279815673828	2756.81640625	71	M+H
134.9866608586894	22.28059959411621	3913.3173828125	72	M+H
148.9755548279591	22.28059959411621	20381.404296875	73	M+H
148.97555092498337	10.579500198364258	18938.96484375	74	M+H
187.9638392847151	31.04680061340332	19355.80859375	75	M+H
187.9638145996622	45.763999938964844	9844.99609375	76	M+H
187.96377334616923	22.28059959411621	14445.5263671875	77	M+H
70.01269415727323	65.14320373535156	16579.79296875	78	M+H
70.0126946998155	4.720680236816406	14639.583984375	79	M+H
79.01787464496415	41.32379913330078	13246.2509765625	80	M+H
79.01786579840363	7.655819892883301	9905.08984375	81	M+H
79.01787559716648	22.28059959411621	12723.259765625	82	M+H
84.08384970545791	41.32379913330078	4468.87060546875	83	M+H
84.0863852043033	38.37730026245117	2482.108642578125	84	M+H
88.03924182027347	71.13839721679688	2635.60302734375	85	M+H
90.50698763167138	1.7975200414657593	15126.3330078125	86	M+H
99.51229397772869	14.967700004577637	11040.009765625	87	M+H
99.5311455097394	45.763999938964844	7500.5966796875	88	M+H
99.53117758198226	6.186359882354736	8550.013671875	89	M+H
105.00316556937916	36.903099060058594	11316.9638671875	90	M+H
117.09080587105247	60.63240051269531	6356.283203125	91	M+H
