Peak Mass	RT	Intensity	Cluster	Transform	Freq.	Prob.	M
296.96498179	3.10548996925	6943.47558594	0	M+H	500.0	1.0	295.957705338
140.961533969	4.5570101738	3070.00317383	1	M+H	500.0	1.0	139.954257517
183.007248302	8.91858005524	2518.77685547	2	M+H	500.0	1.0	181.99997185
88.5090414037	4.5570101738	8709.45117188	3	M+H	500.0	1.0	87.5017649517
139.96297447	6.01026010513	4592.1796875	4	M+H	500.0	1.0	138.955698018
210.949241644	11.8261003494	2557.30664062	5	M+H	500	1.0	209.941965192
122.510520914	17.6630001068	3308.56689453	6	M+H	500.0	1.0	121.503244462
227.163930981	19.1273994446	1810.00085449	7	M+H	500.0	1.0	226.156654529
155.973963617	1.64971995354	6292.16064453	8	M+H	500.0	1.0	154.966687165
90.008383854	4.5570101738	8510.35253906	9	M+H	500.0	1.0	89.001107402
81.5149818792	29.3404998779	2411.859375	10	M+H	500.0	1.0	80.5077054272
86.5176598553	27.8805999756	3201.71972656	11	M+H	500.0	1.0	85.5103834033
183.988196673	1.64971995354	33011.8398438	4133	M+HC13	500	1.0	181.977570222
287.888397883	3.10548996925	12958.0917969	13	M+H	500.0	1.0	286.881121431
348.894318833	38.0974998474	1525.12561035	14	M+H	500.0	1.0	347.887042381
102.047251835	27.8805999756	5394.19921875	15	M+H	500.0	1.0	101.039975383
325.954538312	49.7855987549	2210.67285156	16	M+H	500.0	1.0	324.94726186
273.954173539	43.9378013611	2213.72460938	17	M+H	500.0	1.0	272.946897087
130.122651304	49.7855987549	1235.38793945	18	M+H	500.0	1.0	129.115374852
144.10170631	48.3241996765	1703.70129395	19	M+H	500.0	1.0	143.094429858
205.085556225	52.7020988464	2565.01342773	20	M+H	500.0	1.0	204.078279773
81.5190405028	52.7020988464	2041.53747559	21	M+H	500.0	1.0	80.5117640508
176.980096287	57.0727996826	3301.89038086	22	M+H	500.0	1.0	175.972819835
74.0334777824	36.6412010193	1850.55566406	23	M+H	500.0	1.0	73.0262013304
84.1053677523	55.6181983948	1177.06140137	24	M+H	500.0	1.0	83.0980913003
169.085764162	59.9841003418	1539.16540527	25	M+H	500.0	1.0	168.07848771
167.026372558	62.8931999207	2763.49707031	26	M+H	500.0	1.0	166.019096106
115.017030998	1.64971995354	16045.6455078	27	M+H	500.0	1.0	114.009754546
437.90881534	58.5297012329	2958.38378906	28	M+H	500.0	1.0	436.901538888
105.003131616	4.5570101738	5406.06005859	29	M+H	500.0	1.0	103.995855164
284.928055174	59.9841003418	1904.13269043	30	M+H	500.0	1.0	283.920778722
102.970071738	42.479801178	6406.91210938	31	M+H	500.0	1.0	101.962795286
102.970066818	27.8805999756	6206.42285156	32	M+H	500.0	1.0	101.962790366
116.52403836	3.10548996925	17629.2460938	33	M+H	500.0	1.0	115.516761908
136.952968814	45.4019012451	5842.38623047	34	M+H	500.0	1.0	135.945692362
136.952992291	27.8805999756	5953.70605469	35	M+H	500.0	1.0	135.945715839
102.097722629	58.5297012329	3144.75756836	36	M+H	500.0	1.0	101.090446177
148.975488266	48.3241996765	8331.66992188	37	M+H	500.0	1.0	147.968211814
148.975476076	8.91858005524	8786.14648438	38	M+H	500.0	1.0	147.968199624
170.957380542	32.2582015991	10181.40625	39	M+H	500.0	1.0	169.95010409
190.002019199	61.4370002747	9533.00488281	40	M+H	500.0	1.0	188.994742747
190.001946107	8.91858005524	8426.09375	38	M+ACN+H	500	1.0	147.968120552
190.002052817	49.7855987549	7712.90673828	37	M+ACN+H	500	1.0	147.968227262
217.106890958	65.8140029907	8821.87597656	43	M+H	500.0	1.0	216.099614506
101.096116282	7.46555995941	7443.53613281	44	M+H	500.0	1.0	100.08883983
101.096156599	59.9841003418	6593.57714844	45	M+H	500.0	1.0	100.088880147
102.060585022	64.3547973633	3584.8671875	46	M+H	500.0	1.0	101.05330857
150.013942849	38.0974998474	7539.94921875	47	M+H	500.0	1.0	149.006666397
150.013956202	16.200799942	6404.74023438	48	M+H	500.0	1.0	149.00667975
162.007109571	65.8140029907	7677.08984375	49	M+H	500.0	1.0	160.999833119
162.007096836	4.5570101738	6929.13720703	53	M+ACN+H	478	0.956	119.973271281
186.148528723	61.4370002747	5465.39550781	51	M+H	500.0	1.0	185.141252271
120.980733852	55.6181983948	15573.2460938	52	M+H	500.0	1.0	119.9734574
120.980734743	8.91858005524	16599.3085938	53	M+H	500.0	1.0	119.973458291
128.019056331	58.5297012329	25418.3828125	54	M+H	500.0	1.0	127.011779879
171.062484038	19.1273994446	7387.55957031	55	M+H	500.0	1.0	170.055207586
171.062497639	59.9841003418	7065.22851562	56	M+H	500.0	1.0	170.055221187
272.944206301	71.6352005005	5428.78417969	57	M+H	500.0	1.0	271.936929849
124.096658528	19.1273994446	9777.07519531	58	M+H	500.0	1.0	123.089382076
124.096669908	48.3241996765	9740.41992188	59	M+H	500.0	1.0	123.089393456
124.096664451	29.3404998779	9450.20898438	60	M+H	500.0	1.0	123.089387999
159.968948004	1.64971995354	78146.671875	61	M+H	500.0	1.0	158.961671552
159.968923158	45.4019012451	26184.4433594	62	M+H	500.0	1.0	158.961646706
204.956771434	48.3241996765	7351.73828125	63	M+H	500.0	1.0	203.949494982
204.956711016	20.5898990631	6653.11474609	64	M+H	500.0	1.0	203.949434564
167.000294525	90.618598938	3327.5065918	65	M+H	500.0	1.0	165.993018073
177.006780888	57.0727996826	10784.1435547	66	M+H	500.0	1.0	175.999504436
171.99147781	27.8805999756	53405.3984375	67	M+H	500.0	1.0	170.984201358
171.991459018	33.720199585	50584.1328125	68	M+H	435	0.87	170.984182566
311.943913649	76.012802124	4480.26318359	69	M+H	500.0	1.0	310.936637197
129.052022383	24.9655990601	35972.9570312	70	M+H	500.0	1.0	128.044745931
129.052015707	61.4370002747	39147.21875	71	M+H	500.0	1.0	128.044739255
143.996656143	22.0491008759	67861.125	72	M+H	500.0	1.0	142.989379691
143.996654415	42.479801178	67643.8359375	73	M+H	500.0	1.0	142.989377963
93.0546241574	11.8261003494	19897.6972656	74	M+H	500.0	1.0	92.0473477054
93.0546198984	42.479801178	21209.6972656	75	M+H	500.0	1.0	92.0473434464
181.617867083	81.841796875	2279.47949219	76	M+H	500.0	1.0	180.610590631
272.997012188	74.556602478	2565.47387695	77	M+H	500.0	1.0	271.989735736
94.0696335413	74.556602478	2865.72290039	78	M+H	500.0	1.0	93.0623570893
186.007050422	32.2582015991	7037.85546875	79	M+H	500.0	1.0	184.999773971
186.007067609	49.7855987549	7584.19433594	80	M+H	500.0	1.0	184.999791157
309.203216631	11.8261003494	21830.1601562	81	M+H	500.0	1.0	308.195940179
309.203266041	49.7855987549	21890.8730469	82	M+H	500.0	1.0	308.195989589
364.341845776	87.6834030151	2411.01074219	83	M+H	500.0	1.0	363.334569324
796.552345768	89.1473999023	18172.4628906	136	M+H	41	0.082	795.545069316
83.0464779914	86.2175979614	7136.46191406	85	M+H	500.0	1.0	82.0392015394
115.111585234	11.8261003494	10641.5224609	86	M+H	500.0	1.0	114.104308782
115.111597253	65.8140029907	11004.6669922	87	M+H	500.0	1.0	114.104320801
221.016602715	84.7524032593	4083.68310547	88	M+H	500.0	1.0	220.009326263
236.003180148	83.2949981689	1481.19970703	179	M+HC13	500	1.0	233.992553696
245.269413512	83.2949981689	1695.52734375	90	M+H	500.0	1.0	244.26213706
315.252793033	84.7524032593	1985.45581055	91	M+H	500.0	1.0	314.245516581
337.234657566	84.7524032593	5018.8984375	92	M+H	500.0	1.0	336.227381114
157.083326635	30.801700592	18212.2324219	93	M+H	500.0	1.0	156.076050183
