Peak Mass	RT	Intensity	Cluster	Transform	Freq.	Prob.	M
374.06281474	1.54328000546	20323.6445312	0	M+H	500.0	1.0	373.055538288
349.993144218	4.44947004318	6177.11132812	286	M+HC13	498	0.996	347.982517766
351.989836151	5.91286993027	5300.00244141	168	M+HC13	499	0.998	349.979209699
111.96813317	7.3805398941	3749.09521484	3	M+H	500.0	1.0	110.960856718
240.164529134	5.91286993027	6543.05908203	93	M+HC13	459	0.918	238.153902682
287.888369453	4.44947004318	5663.88623047	5	M+H	500.0	1.0	286.881093001
138.991125102	5.91286993027	3144.67578125	6	M+H	500.0	1.0	137.98384865
158.971777608	5.91286993027	5197.01367188	19	M+H2C13	490	0.98	155.957801156
167.998269901	5.91286993027	3523.65112305	8	M+H	500.0	1.0	166.990993449
168.919136429	8.8597202301	3568.79345703	9	M+H	500.0	1.0	167.911859977
237.145418444	5.91286993027	3978.9230957	10	M+H	500.0	1.0	236.138141992
247.942660029	5.91286993027	5392.30566406	11	M+H	500.0	1.0	246.935383577
82.9990655242	2.98342990875	2928.41625977	12	M+H	500.0	1.0	81.9917890722
98.0135116916	4.44947004318	6150.05273438	13	M+H	500.0	1.0	97.0062352396
110.024229845	2.98342990875	4676.16357422	14	M+H	500.0	1.0	109.016953393
172.95601549	5.91286993027	7318.4375	15	M+H	500.0	1.0	171.948739038
84.0918245607	8.8597202301	13637.1962891	16	M+H	500.0	1.0	83.0845481087
99.0135470164	2.98342990875	6864.51904297	17	M+H	500.0	1.0	98.0062705644
115.094583805	1.54328000546	5076.66259766	18	M+H	500.0	1.0	114.087307353
156.965691442	2.98342990875	7290.32666016	19	M+H	500.0	1.0	155.95841499
84.0898182444	8.8597202301	20157.4023438	20	M+H	500.0	1.0	83.0825417924
97.9686427776	5.91286993027	4867.38720703	21	M+H	500.0	1.0	96.9613663256
161.969191774	5.91286993027	4787.87695312	22	M+H	500.0	1.0	160.961915322
224.007463327	1.54328000546	9166.11914062	23	M+H	500.0	1.0	223.000186875
255.062359703	8.8597202301	4360.32910156	24	M+H	500.0	1.0	254.055083251
325.919998217	11.8219003677	4509.74316406	25	M+H	500.0	1.0	324.912721765
204.966362266	17.7956008911	3141.59106445	26	M+H	500.0	1.0	203.959085814
90.0069305157	2.98342990875	11519.3505859	27	M+H	500.0	1.0	88.9996540637
142.961606866	4.44947004318	6177.52539062	345	M+HC13	500	1.0	140.950980414
133.028057963	14.8187999725	4983.36816406	29	M+H	500.0	1.0	132.020781511
107.048938247	17.7956008911	5439.42089844	30	M+H	500	1.0	106.041661795
116.523980919	2.98342990875	23155.7324219	31	M+H	500.0	1.0	115.516704467
213.109283248	13.3200998306	4047.01049805	32	M+H	500.0	1.0	212.102006796
135.101247012	10.3381004333	6503.40429688	33	M+H	500.0	1.0	134.09397056
85.0474570891	2.98342990875	8937.16894531	34	M+H	500.0	1.0	84.0401806371
148.975222585	5.91286993027	10372.7861328	35	M+H	500.0	1.0	147.967946133
131.973969783	4.44947004318	9985.07714844	36	M+H	500.0	1.0	130.966693331
179.1063403	1.54328000546	16262.390625	37	M+H	500.0	1.0	178.099063848
223.111404039	1.54328000546	12126.6201172	38	M+H	500.0	1.0	222.104127587
180.989493969	4.44947004318	26120.8105469	39	M+H	500.0	1.0	179.982217517
84.0953918899	14.8187999725	9977.3046875	40	M+H	500.0	1.0	83.0881154379
183.988193034	4.44947004318	26328.4609375	1743	M+HC13	500	1.0	181.977566582
139.962977902	5.91286993027	12377.9667969	42	M+H	500.0	1.0	138.95570145
84.0638159135	2.98342990875	70738.5234375	43	M+H	500.0	1.0	83.0565394615
84.0638397694	25.377199173	35728.3046875	44	M+H	500.0	1.0	83.0565633174
102.127496379	16.3094997406	11527.0185547	45	M+H	500.0	1.0	101.120219927
84.0737369319	10.3381004333	18625.4921875	46	M+H	500.0	1.0	83.0664604799
133.105005609	29.9223003387	2771.09301758	47	M+H	500.0	1.0	132.097729157
181.987878256	4.44947004318	17555.3613281	48	M+H	500.0	1.0	180.980601804
271.916057842	5.91286993027	20994.7519531	49	M+H	500.0	1.0	270.90878139
271.916102906	36.0410995483	7197.28271484	50	M+H	500.0	1.0	270.908826454
81.5061156141	42.1067008972	1867.12585449	51	M+H	500.0	1.0	80.4988391621
105.033237484	48.2634010315	1856.70153809	52	M+H	500.0	1.0	104.025961032
144.101641461	36.0410995483	4777.5703125	53	M+H	500.0	1.0	143.094365009
