Peak Mass	RT	Intensity	Cluster	Transform	Freq.	Prob.	M
169.976690615	5.88645982742	5913.171875	0	M+H	500.0	1.0	168.969414163
236.938006108	3.11053991318	11433.7470703	1	M+H	500.0	1.0	235.930729656
243.038020565	4.49880981445	12924.9882812	2	M+H	500	1.0	242.030744113
338.901289403	3.11053991318	9242.40527344	3	M+H	500.0	1.0	337.894012951
83.9977954632	4.49880981445	10903.9619141	4	M+H	500.0	1.0	82.9905190112
84.0535537805	1.72051000595	14444.4101562	5	M+H	500.0	1.0	83.0462773285
84.166117776	7.28586006165	4355.75390625	6	M+H	500.0	1.0	83.1588413241
84.177241216	7.28586006165	4097.73095703	7	M+H	500.0	1.0	83.169964764
199.987328383	5.88645982742	46626.390625	8	M+H	500.0	1.0	198.980051931
219.018505854	5.88645982742	7823.62451172	9	M+H	500.0	1.0	218.011229402
247.013237879	7.28586006165	11330.7607422	10	M+H	500.0	1.0	246.005961427
332.27999751	7.28586006165	4405.56591797	11	M+H	500.0	1.0	331.272721058
84.1104509547	11.4597997665	12666.1308594	12	M+H	500.0	1.0	83.1031745027
84.1176971912	8.68152046204	11782.4755859	13	M+H	500.0	1.0	83.1104207392
276.896204513	18.3962001801	11790.5068359	14	M+H	500.0	1.0	275.888928061
183.030451325	14.236000061	8771.94335938	15	M+H	500.0	1.0	182.023174873
84.0756294235	17.0058994293	97767.59375	16	M+H	500.0	1.0	83.0683529715
89.5023155714	19.7838001251	15383.421875	17	M+H	500.0	1.0	88.4950391194
109.997982871	12.851099968	11298.8173828	18	M+H	500.0	1.0	108.990706419
135.955975571	14.236000061	8719.37695312	19	M+H	500.0	1.0	134.948699119
178.999614908	15.6185998917	18612.125	132	M+IsoProp+H	500	1.0	117.934823579
183.013901377	14.236000061	14692.2939453	21	M+H	500.0	1.0	182.006624925
183.023800711	14.236000061	7516.17285156	22	M+H	500.0	1.0	182.016524259
183.051490359	12.851099968	15817.2929688	23	M+H	500.0	1.0	182.044213907
89.5011262947	17.0058994293	18709.84375	24	M+H	500.0	1.0	88.4938498427
89.5114128503	17.0058994293	13814.9345703	25	M+H	500.0	1.0	88.5041363983
140.961275824	15.6185998917	20735.6914062	26	M+H	500.0	1.0	139.953999372
84.0566946385	1.72051000595	19432.1152344	27	M+H	500.0	1.0	83.0494181865
89.4989366764	17.0058994293	8688.75878906	28	M+H	500.0	1.0	88.4916602244
110.015875324	14.236000061	55096.1445312	29	M+H	500.0	1.0	109.008598872
182.947497721	12.851099968	8931.67675781	30	M+H	500.0	1.0	181.940221269
182.949008806	17.0058994293	8199.71679688	31	M+H	500.0	1.0	181.941732354
182.957395401	15.6185998917	11492.7119141	32	M+H	500.0	1.0	181.950118949
286.891438263	14.236000061	12701.4267578	33	M+H	500.0	1.0	285.884161811
87.003918747	17.0058994293	13191.0712891	103	M+ACN+2H	500	1.0	130.966735487
110.003397437	12.851099968	13060.9238281	35	M+H	500.0	1.0	108.996120985
140.950924618	17.0058994293	15059.3330078	36	M+H	500.0	1.0	139.943648166
158.971855216	12.851099968	22052.6503906	37	M+H	500.0	1.0	157.964578764
182.952392929	14.236000061	8198.00390625	38	M+H	500.0	1.0	181.945116477
183.017122062	12.851099968	11241.3378906	39	M+H	500.0	1.0	182.00984561
405.824521751	18.3962001801	7802.21484375	40	M+H	500.0	1.0	404.817245299
119.535305839	12.851099968	31839.9589844	41	M+H	500.0	1.0	118.528029387
182.954184269	15.6185998917	11807.9121094	202	M+NaC13	500	1.0	158.961613189
182.959169583	15.6185998917	17501.4570312	43	M+H	500.0	1.0	181.951893131
182.978979311	14.236000061	37991.8476562	44	M+H	500.0	1.0	181.971702859
304.891115107	15.6185998917	37337.3203125	45	M+H	500.0	1.0	303.883838655
330.914614505	22.5557003021	9634.50585938	46	M+H	500.0	1.0	329.907338053
228.006953288	12.851099968	19021.9785156	315	M+ACN+H	499	0.998	185.973127733
89.483967931	18.3962001801	12445.2792969	48	M+H	500.0	1.0	88.476691479
97.5143392298	18.3962001801	17151.46875	49	M+H	500.0	1.0	96.5070627779
102.063513521	18.3962001801	50862.5117188	50	M+H	500.0	1.0	101.056237069
140.995343311	19.7838001251	11577.5214844	51	M+H	500.0	1.0	139.988066859
142.958645525	18.3962001801	14725.7304688	52	M+H	500.0	1.0	141.951369073
247.942729333	19.7838001251	26417.4824219	53	M+H	500.0	1.0	246.935452881
89.5102656657	17.0058994293	18679.5371094	54	M+H	500.0	1.0	88.5029892137
111.02239813	18.3962001801	18102.828125	55	M+H	500.0	1.0	110.015121678
161.969137191	15.6185998917	10945.3066406	56	M+H	500.0	1.0	160.961860739
183.010531269	17.0058994293	13078.9716797	57	M+H	500.0	1.0	182.003254817
200.99513871	18.3962001801	22755.2695312	202	M+ACN+H	234	0.468	158.961313155
228.990160315	22.5557003021	19922.1328125	59	M+H	500	1.0	227.982883863
326.919617348	18.3962001801	23163.1308594	60	M+H	500.0	1.0	325.912340896
89.9752593063	18.3962001801	12301.0800781	61	M+H	500.0	1.0	88.9679828543
161.493971003	15.6185998917	28717.8378906	62	M+H	500.0	1.0	160.486694551
182.962423052	17.0058994293	16945.1777344	63	M+H	500.0	1.0	181.9551466
182.963987498	14.236000061	13957.078125	64	M+H	500.0	1.0	181.956711046
183.002178828	17.0058994293	20385.15625	65	M+H	500.0	1.0	181.994902376
183.005481932	12.851099968	14390.0048828	66	M+H	500.0	1.0	181.99820548
183.008865788	15.6185998917	16198.4794922	67	M+H	500.0	1.0	182.001589336
185.988481178	12.851099968	12881.0380859	68	M+H	57	0.114	184.981204726
255.938557738	17.0058994293	9338.04980469	69	M+H	500.0	1.0	254.931281286
134.957436319	18.3962001801	14681.6660156	70	M+H	500.0	1.0	133.950159867
137.59249436	18.3962001801	10523.5761719	71	M+H	500.0	1.0	136.585217908
138.479677638	18.3962001801	15915.5703125	72	M+H	500.0	1.0	137.472401186
170.48760441	19.7838001251	12045.1601562	73	M+H	500.0	1.0	169.480327959
182.969009714	17.0058994293	20146.6582031	74	M+H	500.0	1.0	181.961733262
182.970659293	14.236000061	21786.2109375	75	M+H	500.0	1.0	181.963382841
142.96149704	17.0058994293	23217.6015625	314	M+HC13	500	1.0	140.950870588
160.971871502	14.236000061	24570.3554688	202	M+HC13	500	1.0	158.96124505
175.089433143	25.3262996674	5303.68945312	78	M+H	500.0	1.0	174.082156691
183.000500494	14.236000061	21136.2167969	79	M+H	500.0	1.0	181.993224042
285.892988262	18.3962001801	19141.8574219	80	M+H	500.0	1.0	284.88571181
84.1585949179	28.0993995667	4023.23095703	81	M+H	500.0	1.0	83.1513184659
182.997213306	17.0058994293	25680.0488281	82	M+H	500.0	1.0	181.989936854
182.972287316	14.236000061	20366.3574219	83	M+H	500.0	1.0	181.965010864
78.7468022109	14.236000061	8876.68164062	84	M+H	500.0	1.0	77.7395257589
89.0081565508	11.4597997665	85254.796875	85	M+H	500.0	1.0	88.0008800989
99.5121688642	15.6185998917	54030.2734375	86	M+H	500.0	1.0	98.5048924122
157.973477537	19.7838001251	41109.3945312	87	M+H	500.0	1.0	156.966201085
182.975651006	14.236000061	29705.8710938	88	M+H	500.0	1.0	181.968374554
84.0422390133	35.0531005859	7894.25585938	89	M+H	500.0	1.0	83.0349625613
90.0068700418	19.7838001251	50640.25	90	M+H	500.0	1.0	88.9995935898
99.0135111852	15.6185998917	19310.6875	91	M+H	500.0	1.0	98.0062347332
181.987834745	18.3962001801	63248.7851562	92	M+H	500.0	1.0	180.980558293
182.993838796	15.6185998917	26691.9101562	93	M+H	500.0	1.0	181.986562344
328.914837835	18.3962001801	176685.390625	94	M+H	500.0	1.0	327.907561383
91.5045026227	17.0058994293	42761.3945312	95	M+H	500.0	1.0	90.4972261707
102.049278392	5.88645982742	13644.3876953	96	M+H	500.0	1.0	101.04200194
102.057592384	22.5557003021	13755.8828125	97	M+H	500.0	1.0	101.050315932
102.057575632	4.49880981445	14388.9501953	98	M+H	500.0	1.0	101.05029918
102.058953136	4.49880981445	14035.5332031	99	M+H	500.0	1.0	101.051676684
102.058972223	23.9398994446	12886.1103516	100	M+H	500.0	1.0	101.051695771
124.036660563	35.0531005859	6578.79394531	101	M+H	500.0	1.0	123.029384111
182.992255268	14.236000061	38995.84375	102	M+H	500.0	1.0	181.984978816
131.97390976	17.0058994293	21784.0175781	103	M+H	500.0	1.0	130.966633308
102.040314118	40.5993995667	28555.7226562	104	M+H	500.0	1.0	101.033037666
102.039969544	3.11053991318	29162.5703125	105	M+H	500.0	1.0	101.032693092
84.0469914313	57.2784996033	13051.1435547	106	M+H	500.0	1.0	83.0397149793
154.96328775	21.1704998016	31194.5898438	107	M+H	500.0	1.0	153.956011298
164.947712474	14.236000061	25411.7617188	108	M+H	500.0	1.0	163.940436022
