Peak Mass	RT	Intensity	Cluster	Transform	Freq.	Prob.	M
84.0923595546	4.60844993591	3312.19335938	0	M+H	500.0	1.0	83.0850831026
158.117087261	3.16605997086	4325.71826172	1	M+H	500.0	1.0	157.109810809
83.0524871586	3.16605997086	6913.53320312	2	M+H	500.0	1.0	82.0452107066
84.0890003448	8.99664020538	5162.85302734	3	M+H	500.0	1.0	83.0817238928
188.978203035	8.99664020538	4914.47167969	4	M+H	500.0	1.0	187.970926583
216.011239043	1.74828994274	8612.40917969	5	M+H	500.0	1.0	215.003962591
242.034680496	8.99664020538	8844.11523438	28	M+ACN+H	83	0.166	200.00085494
94.0644945367	6.06648015976	2452.15209961	7	M+H	500.0	1.0	93.0572180847
117.054374732	3.16605997086	7418.50634766	8	M+H	500.0	1.0	116.04709828
123.013639845	3.16605997086	4101.72363281	9	M+H	500.0	1.0	122.006363393
129.090857981	4.60844993591	6045.69482422	10	M+H	500.0	1.0	128.083581529
276.896878902	7.52748012543	5585.91162109	11	M+H	500.0	1.0	275.88960245
130.966544735	8.99664020538	5437.80761719	12	M+H	500.0	1.0	129.959268283
282.910298449	6.06648015976	3716.93505859	13	M+H	500.0	1.0	281.903021997
84.0780198213	16.4449005127	11057.5097656	14	M+H	500.0	1.0	83.0707433693
304.891270143	7.52748012543	13731.2871094	15	M+H	500.0	1.0	303.883993691
128.513531365	10.4772996902	6110.30615234	16	M+H	500.0	1.0	127.506254913
84.0766509485	7.52748012543	9180.18652344	17	M+H	500.0	1.0	83.0693744965
84.089229393	14.9352998734	4040.54467773	18	M+H	478	0.956	83.081952941
115.526870424	8.99664020538	6848.41064453	19	M+H	500.0	1.0	114.519593972
131.117771367	13.4467000961	3732.98974609	20	M+H	500.0	1.0	130.110494915
129.052044644	1.74828994274	32562.7578125	21	M+H	500.0	1.0	128.044768192
141.963575003	19.4554004669	3870.0480957	22	M+H	500.0	1.0	140.956298551
276.89686447	14.9352998734	5190.09619141	23	M+H	500	1.0	275.889588018
277.965028496	3.16605997086	22318.0722656	122	M+ACN+H	500	1.0	235.931202941
102.052434527	7.52748012543	10522.5214844	25	M+H	500.0	1.0	101.045158075
183.005944499	23.9477005005	7017.01416016	37	M+H	500	1.0	181.998668047
219.047189197	3.16605997086	22315.5878906	27	M+H	500.0	1.0	218.039912745
201.008055421	3.16605997086	16580.7109375	28	M+H	500.0	1.0	200.000778969
145.954259372	20.9498004913	2855.29541016	29	M+H	500.0	1.0	144.94698292
185.988852679	23.9477005005	6413.55273438	30	M+H	500.0	1.0	184.981576227
85.0777434176	11.9595003128	4691.97705078	31	M+H	500.0	1.0	84.0704669656
102.016607728	23.9477005005	9346.7890625	32	M+H	500.0	1.0	101.009331276
161.4943039	25.447599411	5987.33447266	33	M+H	500.0	1.0	160.487027448
248.900468166	20.9498004913	7447.62939453	34	M+H	500.0	1.0	247.893191714
90.5227452234	28.4524993896	3661.17724609	35	M+H	500.0	1.0	89.5154687714
182.994352163	19.4554004669	12156.8066406	36	M+H	500.0	1.0	181.987075711
183.005963776	23.9477005005	7017.01416016	37	M+H	500	1.0	181.998687324
101.003287567	3.16605997086	22182.7246094	38	M+H	500.0	1.0	99.9960111148
156.965833771	8.99664020538	8320.20507812	39	M+H	500.0	1.0	155.958557319
153.039073359	26.9515991211	3125.75146484	40	M+H	500.0	1.0	152.031796907
101.980877915	29.9484996796	2352.10449219	41	M+H	500.0	1.0	100.973601463
102.041711416	25.447599411	21775.5644531	42	M+H	500.0	1.0	101.034434964
121.064638075	31.4528007507	4598.53564453	43	M+H	500.0	1.0	120.057361623
