Peak Mass	RT	Intensity	Cluster	Transform	Freq.	Prob.	M
181.95054004	7.65581989288	2984.13891602	0	M+H	500.0	1.0	180.943263588
135.101417678	3.25959992409	2434.58056641	1	M+H	500.0	1.0	134.094141226
303.883402814	1.79752004147	4584.57470703	2	M+H	500.0	1.0	302.876126362
107.070187619	4.72068023682	7805.59570312	3	M+H	500.0	1.0	106.062911167
187.132736912	3.25959992409	2839.75463867	4	M+H	500.0	1.0	186.12546046
144.138251024	4.72068023682	2015.57531738	5	M+H	500.0	1.0	143.130974572
225.986813464	7.65581989288	3958.36694336	6	M+H	500.0	1.0	224.979537012
228.007126993	9.11892032623	5588.63183594	161	M+ACN+H	500	1.0	185.973301438
196.107786724	3.25959992409	6298.87890625	8	M+H	500.0	1.0	195.100510272
185.983154766	4.72068023682	3607.86352539	9	M+H	500.0	1.0	184.975878314
241.998375013	7.65581989288	3965.1003418	10	M+H	500.0	1.0	240.991098561
288.918895939	1.79752004147	5499.31689453	11	M+H	500.0	1.0	287.911619487
316.913905623	13.4979000092	2068.96899414	12	M+H	500.0	1.0	315.906629171
83.0550205898	9.11892032623	5066.85546875	13	M+H	500.0	1.0	82.0477441379
89.0596716183	7.65581989288	2861.49023438	14	M+H	500.0	1.0	88.0523951663
145.085767462	4.72068023682	2039.10046387	15	M+H	500.0	1.0	144.07849101
231.028602076	7.65581989288	3391.72851562	74	M+2ACN+H	499	0.998	147.968227418
245.993182854	9.11892032623	4655.54150391	44	M+ACN+H	465	0.93	203.959357299
76.0789192986	6.18635988235	3957.48828125	18	M+H	500.0	1.0	75.0716428466
133.032838917	10.5795001984	3798.54248047	19	M+H	500.0	1.0	132.025562465
153.95575946	1.79752004147	8703.0234375	20	M+H	500.0	1.0	152.948483009
217.997900166	7.65581989288	8652.57910156	21	M+H	62	0.124	216.990623714
72.0808449177	4.72068023682	4370.73193359	22	M+H	500.0	1.0	71.0735684657
76.0728643946	25.2035007477	4243.90478516	23	M+H	500.0	1.0	75.0655879426
183.01602867	19.3631000519	2805.86865234	24	M+H	500.0	1.0	182.008752218
182.948123749	22.2805995941	2062.87548828	25	M+H	500.0	1.0	181.940847297
182.964657012	23.7388000488	5027.76025391	26	M+H	500.0	1.0	181.95738056
135.945188967	7.65581989288	5547.27441406	27	M+H	500.0	1.0	134.937912515
96.0443259914	4.72068023682	4915.14941406	81	M+NH4	498	0.996	78.0105004364
183.009433059	32.5057983398	4253.95703125	29	M+H	500.0	1.0	182.002156607
183.025997946	22.2805995941	2700.01342773	30	M+H	500.0	1.0	182.018721494
270.1923535	1.79752004147	11012.5810547	31	M+H	500.0	1.0	269.185077048
76.0806170699	23.7388000488	2194.73999023	32	M+H	500.0	1.0	75.0733406179
118.08611735	7.65581989288	5274.02832031	574	M+CH3OH+H	489	0.978	85.0526261482
183.004525732	23.7388000488	4073.44335938	34	M+H	500.0	1.0	181.99724928
183.022717603	23.7388000488	2303.62646484	35	M+H	500.0	1.0	182.015441151
189.488808077	31.0468006134	2066.73706055	36	M+H	500.0	1.0	188.481531625
76.0705884292	9.11892032623	2697.19726562	37	M+H	500.0	1.0	75.0633119772
176.971802927	3.25959992409	16198.09375	38	M+H	500.0	1.0	175.964526475
328.915466209	26.6692008972	21608.8007812	39	M+H	500.0	1.0	327.908189757
89.5013717993	33.9696998596	3404.83569336	102	M+H+Na	499	0.998	155.006246066
158.971924733	9.11892032623	4340.00439453	41	M+H	500.0	1.0	157.964648281
168.91919741	29.5872993469	2418.37158203	42	M+H	500.0	1.0	167.911920958
142.958984987	32.5057983398	4362.18310547	90	M+K	483	0.966	103.995826667
204.966638657	4.72068023682	10069.3359375	44	M+H	500.0	1.0	203.959362205
326.92008259	31.0468006134	4748.75488281	45	M+H	500.0	1.0	325.912806138
304.891447414	13.4979000092	17145.4902344	46	M+H	500.0	1.0	303.884170962
232.928073858	38.3773002625	2060.50415039	47	M+H	500.0	1.0	231.920797406
102.0860091	29.5872993469	3083.66503906	48	M+H	500.0	1.0	101.078732648
209.945819512	39.8525009155	12239.4765625	49	M+H	500	1.0	208.93854306
164.948011241	26.6692008972	3518.68505859	50	M+H	500.0	1.0	163.940734789
175.491601126	32.5057983398	13158.4355469	51	M+H	500.0	1.0	174.484324674
131.162129506	51.701499939	2289.37402344	52	M+H	500.0	1.0	130.154853054
139.963103879	31.0468006134	10474.8916016	53	M+H	500.0	1.0	138.955827427
146.496757065	51.701499939	3311.39453125	54	M+H	500.0	1.0	145.489480613
102.020324212	50.2093009949	6653.41113281	55	M+H	500.0	1.0	101.01304776
83.0535113083	26.6692008972	5077.60693359	56	M+H	500.0	1.0	82.0462348563
83.0534020674	57.6496009827	4021.31274414	57	M+H	500.0	1.0	82.0461256154
84.0789243656	62.1360015869	4069.09960938	58	M+H	500.0	1.0	83.0716479136
119.081484121	9.11892032623	7110.22119141	59	M+H	500.0	1.0	118.074207669
208.98458731	56.1589012146	1881.48693848	60	M+H	500.0	1.0	207.977310858
277.975277477	63.641998291	3139.17211914	61	M+H	500.0	1.0	276.968001025
102.029026885	51.701499939	20059.9941406	62	M+H	500	1.0	101.021750433
