Peak Mass	RT	Intensity	Cluster	Transform	Freq.	Prob.	M
70.0126518493	29.789100647	138073.921875	78	M+H	500.0	1.0	69.0053753973
83.0375333063	51.5612983704	8918.0703125	79	M+H	500.0	1.0	82.0302568543
83.0375362676	22.0235996246	9896.41113281	80	M+H	500.0	1.0	82.0302598156
91.0274214648	40.6645011902	20178.0078125	81	M+H	500.0	1.0	90.0201450128
239.161340523	39.1114006042	22589.8671875	82	M+H	500.0	1.0	238.154064071
239.16133683	71.6874008179	22978.953125	83	M+H	500.0	1.0	238.154060378
284.294546917	94.6187973022	3965.54272461	84	M+H	500.0	1.0	283.287270465
297.973765453	91.5821990967	2609.94311523	85	M+H	500.0	1.0	296.966489001
94.0388763973	85.4922027588	2929.25292969	86	M+H	500.0	1.0	93.0315999453
209.042364352	93.0960006714	5505.24755859	87	M+H	495	0.99	208.0350879
261.960715091	82.4568023682	7374.11621094	88	M+H	500.0	1.0	260.953438639
278.208510276	90.06300354	3852.64770508	89	M+H	500.0	1.0	277.201233824
333.299553111	88.5306015015	4152.53320312	90	M+H	500.0	1.0	332.292276659
82.0222394148	22.0235996246	53453.8789062	91	M+H	500.0	1.0	81.0149629628
82.0222426795	74.7816009521	51413.0429688	92	M+H	500.0	1.0	81.0149662275
101.052923633	83.9736022949	3464.31738281	93	M+H	500.0	1.0	100.045647181
111.549181084	11.1639003754	13296.3447266	94	M+H	500.0	1.0	110.541904632
111.549173957	74.7816009521	13080.5380859	95	M+H	500.0	1.0	110.541897505
111.549163559	45.3082008362	13572.9082031	96	M+H	500.0	1.0	110.541887107
122.551905916	93.0960006714	3641.1105957	97	M+H	500.0	1.0	121.544629464
128.019039138	46.8629989624	54310.3125	98	M+H	500.0	1.0	127.011762686
128.0190463	18.8992996216	56024.28125	99	M+H	500.0	1.0	127.011769848
228.231725521	88.5306015015	2801.62475586	100	M+H	500.0	1.0	227.224449069
243.135192337	90.06300354	2610.21362305	101	M+H	500.0	1.0	242.127915885
276.658379149	91.5821990967	3236.11767578	102	M+H	500.0	1.0	275.651102697
287.080374793	87.0108032227	2895.55371094	103	M+H	500.0	1.0	286.073098341
309.061925374	93.0960006714	3677.83398438	104	M+H	500.0	1.0	308.054648922
364.34193939	93.0960006714	2900.41186523	105	M+H	500.0	1.0	363.334662938
408.367721908	94.6187973022	3198.34057617	106	M+H	500.0	1.0	407.360445456
443.33348397	93.0960006714	5642.18310547	107	M+H	500.0	1.0	442.326207518
570.456281089	93.0960006714	6575.17333984	108	M+H	500.0	1.0	569.449004637
121.966007852	22.0235996246	22430.1894531	109	M+H	500.0	1.0	120.9587314
275.257706578	91.5821990967	3085.7097168	110	M+H	500.0	1.0	274.250430126
282.90459354	76.3175964355	33246.6835938	111	M+H	500.0	1.0	281.897317089
282.904585371	14.2601003647	23565.3085938	112	M+H	500.0	1.0	281.897308919
289.273155828	94.6187973022	2523.09887695	113	M+H	500.0	1.0	288.265879376
310.206249981	85.4922027588	4732.52636719	162	M+HC13	500	1.0	308.195623529
335.124896856	99.2154006958	3554.68823242	115	M+H	500.0	1.0	334.117620404
380.336613457	91.5821990967	4079.69970703	116	M+H	500.0	1.0	379.329337005
421.232138499	93.0960006714	3934.53540039	143	M+Na	499	0.998	398.242917419
484.383542623	93.0960006714	1922.8782959	118	M+H	500.0	1.0	483.376266171
527.434773403	93.0960006714	3022.27978516	166	M+HC13	500	1.0	525.424146951
70.480536978	82.4568023682	4028.18383789	120	M+H	500.0	1.0	69.473260526
70.4805388232	20.4624996185	3531.6875	121	M+H	500.0	1.0	69.4732623712
70.4805290965	36.0097007751	3475.74951172	122	M+H	500.0	1.0	69.4732526445
83.5171035887	40.6645011902	17669.9101562	123	M+H	500.0	1.0	82.5098271367
83.5170937278	59.2832984924	16339.1816406	124	M+H	500.0	1.0	82.5098172758
121.122140552	70.144203186	13394.203125	125	M+H	500.0	1.0	120.1148641
122.541000644	93.0960006714	3160.59228516	126	M+H	500.0	1.0	121.533724192
126.989369509	54.6819992065	10393.2666016	127	M+H	500.0	1.0	125.982093057
268.18748956	87.0108032227	3650.2253418	128	M+H	500.0	1.0	267.180213108
369.296747776	93.0960006714	3699.71484375	129	M+H	500.0	1.0	368.289471324
385.292165561	91.5821990967	2915.85693359	130	M+H	500.0	1.0	384.284889109
399.307584983	96.1536026001	8207.85058594	131	M+H	500.0	1.0	398.300308531
429.261444979	91.5821990967	5278.16796875	132	M+H	500.0	1.0	428.254168527
439.381843687	93.0960006714	3211.95336914	164	M+HC13	500	1.0	437.371217235
457.270522452	103.832000732	3383.49707031	181	M+K	500	1.0	418.307364132
159.02368737	85.4922027588	10958.2705078	135	M+H	500.0	1.0	158.016410918
159.96888653	22.0235996246	58912.5742188	136	M+H	500.0	1.0	158.961610078
251.180550177	93.0960006714	10029.9130859	205	M+HC13	161	0.322	249.169923725
275.977745588	42.2123985291	12751.0986328	138	M+H	500.0	1.0	274.970469136
275.977810939	11.1639003754	11216.7382812	139	M+H	500.0	1.0	274.970534487
304.247707697	87.0108032227	11653.9111328	140	M+H	500.0	1.0	303.240431245
304.247828644	51.5612983704	8809.40722656	141	M+H	500.0	1.0	303.240552192
350.326096947	93.0960006714	8026.48876953	142	M+H	500.0	1.0	349.318820495
399.249840563	96.1536026001	4278.57275391	143	M+H	500.0	1.0	398.242564111
406.329177811	96.1536026001	2639.78271484	144	M+H	500.0	1.0	405.321901359
427.24481125	94.6187973022	4713.90722656	145	M+H	500.0	1.0	426.237534798
122.542830579	91.5821990967	3931.61645508	146	M+H	500.0	1.0	121.535554127
177.995780902	82.4568023682	22220.453125	147	M+H	500.0	1.0	176.98850445
200.200412425	94.6187973022	2800.25317383	148	M+H	500.0	1.0	199.193135973
255.943658254	73.240196228	55245.2578125	149	M+H	500.0	1.0	254.936381802
255.943551738	20.4624996185	42467.1484375	150	M+H	500.0	1.0	254.936275286
256.262849172	88.5306015015	6063.43212891	151	M+H	500.0	1.0	255.25557272
297.239563983	94.6187973022	8042.64355469	152	M+H	500.0	1.0	296.232287531
325.270619109	93.0960006714	3825.23046875	153	M+H	500.0	1.0	324.263342657
115.058488707	100.757003784	4979.71240234	154	M+H	500.0	1.0	114.051212255
