Peak Mass	RT	Intensity	Cluster	Transform	Freq.	Prob.	M
137.095868461	1.7820199728	3827.83837891	0	M+H	500.0	1.0	136.088592009
162.033793435	3.2331700325	2253.1484375	1	M+H	500	1.0	161.026516983
192.107486901	1.7820199728	3772.81005859	207	M+HC13	500	1.0	190.096860449
199.093799208	4.68768978119	7402.51269531	3	M+H	500.0	1.0	198.086522756
216.950486806	1.7820199728	3677.18920898	4	M+H	500.0	1.0	215.943210354
260.221781022	1.7820199728	3249.67773438	5	M+H	500.0	1.0	259.21450457
266.927223889	1.7820199728	3831.54223633	6	M+H	500.0	1.0	265.919947437
73.0284909188	4.68768978119	2488.38037109	7	M+H	500.0	1.0	72.0212144668
103.075104227	3.2331700325	5611.95410156	8	M+H	500.0	1.0	102.067827775
103.094533977	1.7820199728	4619.68164062	9	M+H	500.0	1.0	102.087257525
111.557988007	1.7820199728	4852.33789062	10	M+H	500.0	1.0	110.550711555
113.035554979	6.16896009445	3902.80810547	11	M+H	500.0	1.0	112.028278527
165.088308545	10.6437997818	3299.28637695	12	M+H	500.0	1.0	164.081032093
193.083571731	12.1426000595	2888.91552734	13	M+H	500.0	1.0	192.076295279
271.262930824	1.7820199728	6930.24658203	14	M+H	500.0	1.0	270.255654372
536.16563611	1.7820199728	4161.11035156	15	M+H	500.0	1.0	535.158359658
118.094240346	4.68768978119	1820.67126465	16	M+H	500.0	1.0	117.086963894
128.336724291	1.7820199728	3986.47509766	17	M+H	500.0	1.0	127.329447839
157.046999611	1.7820199728	3900.70532227	18	M+H	500.0	1.0	156.039723159
236.073860848	1.7820199728	8944.828125	54	M+NH4	469	0.938	218.040035293
128.070316369	7.6602602005	3314.26806641	48	M+NH4	370	0.74	110.036490814
240.164997455	1.7820199728	7467.09277344	168	M+HC13	500	1.0	238.154371003
124.036722496	7.6602602005	3243.10839844	22	M+H	500.0	1.0	123.029446044
183.08075122	6.16896009445	4381.30273438	23	M+H	500.0	1.0	182.073474768
222.000746149	3.2331700325	7440.58154297	24	M+H	500.0	1.0	220.993469697
249.995454155	6.16896009445	2405.66943359	25	M+H	500.0	1.0	248.988177703
83.0853343663	10.6437997818	3534.2331543	26	M+H	500.0	1.0	82.0780579143
152.946932249	1.7820199728	13070.8017578	27	M+H	500.0	1.0	151.939655797
119.025338969	12.1426000595	8209.76367188	28	M+H	500.0	1.0	118.018062517
150.014002491	13.6365995407	1937.9576416	29	M+H	500.0	1.0	149.006726039
158.09636333	1.7820199728	3318.20996094	30	M+H	500.0	1.0	157.089086878
238.149116004	10.6437997818	2315.28393555	31	M+H	459	0.918	237.141839552
252.159260153	6.16896009445	3869.64135742	32	M+H	500.0	1.0	251.151983701
71.0492480057	15.1393003464	3944.5612793	33	M+H	500.0	1.0	70.0419715537
83.0493342641	9.14651966095	7638.56396484	34	M+H	500.0	1.0	82.0420578121
122.059179844	16.6446990967	1993.59973145	35	M+H	500.0	1.0	121.051903392
181.028347907	15.1393003464	5804.54248047	36	M+H	500.0	1.0	180.021071455
182.964596905	12.1426000595	3702.94213867	37	M+H	500.0	1.0	181.957320453
183.010771365	22.6900997162	2891.23974609	38	M+H	500.0	1.0	182.003494913
103.038870572	10.6437997818	3423.64306641	39	M+H	500.0	1.0	102.03159412
140.99562987	12.1426000595	4410.61376953	40	M+H	500.0	1.0	139.988353418
170.487841773	10.6437997818	3087.046875	41	M+H	500.0	1.0	169.480565321
183.024006011	12.1426000595	1579.33728027	42	M+H	500.0	1.0	182.016729559
125.990572318	15.1393003464	2762.28613281	43	M+H	500.0	1.0	124.983295866
146.992176529	22.6900997162	3911.13867188	44	M+H	500.0	1.0	145.984900077
304.89138024	12.1426000595	6697.24121094	45	M+H	500.0	1.0	303.884103788
224.127801095	25.7017002106	4160.83837891	46	M+H	500.0	1.0	223.120524643
97.0648215461	10.6437997818	14942.0234375	47	M+H	500.0	1.0	96.0575450941
111.043904901	9.14651966095	5888.35498047	48	M+H	500.0	1.0	110.036628449
135.043931593	1.7820199728	6723.89697266	49	M+H	500.0	1.0	134.036655141
141.953650045	22.6900997162	2288.92382812	50	M+H	500.0	1.0	140.946373593
172.99491813	3.2331700325	4925.31542969	51	M+H	457	0.914	171.987641678
189.966072223	19.6665000916	7138.53515625	52	M+H	500.0	1.0	188.958795771
195.098846828	27.214099884	4078.75366211	53	M+H	500.0	1.0	194.091570376
219.047265944	6.16896009445	13152.8203125	54	M+H	500.0	1.0	218.039989492
72.0091638574	21.1798000336	2174.00097656	55	M+H	500.0	1.0	71.0018874054
89.5161178661	27.214099884	1856.60107422	56	M+H	500.0	1.0	88.5088414141
94.0600874546	24.1959991455	2151.2980957	57	M+H	500.0	1.0	93.0528110026
197.952068349	16.6446990967	4087.95629883	58	M+H	500.0	1.0	196.944791897
103.531650744	28.7367992401	4998.17871094	59	M+H	500.0	1.0	102.524374292
75.0323348068	24.1959991455	2865.60058594	60	M+H	500.0	1.0	74.0250583548
89.5294629639	25.7017002106	3134.29711914	61	M+H	500.0	1.0	88.5221865119
94.0619283694	24.1959991455	1912.55273438	62	M+H	500.0	1.0	93.0546519174
111.009372746	22.6900997162	3685.39282227	63	M+H	500.0	1.0	110.002096294
125.979322676	19.6665000916	2255.48120117	64	M+H	500.0	1.0	124.972046224
182.918806351	22.6900997162	3879.95654297	65	M+H	500.0	1.0	181.911529899
183.051204146	25.7017002106	3726.02978516	66	M+H	500.0	1.0	182.043927694
189.606867578	13.6365995407	8461.26660156	67	M+H	500.0	1.0	188.599591126
79.5195552171	19.6665000916	2721.46630859	68	M+H	500.0	1.0	78.5122787651
97.0077612118	25.7017002106	3502.95239258	69	M+H	500.0	1.0	96.0004847598
122.057623464	7.6602602005	5234.2578125	70	M+H	500.0	1.0	121.050347012
122.057616855	27.214099884	4557.02978516	71	M+H	500.0	1.0	121.050340403
125.983030008	19.6665000916	2733.72949219	72	M+H	500.0	1.0	124.975753556
146.029662593	22.6900997162	6210.4140625	88	M+ACN+H	500	1.0	103.995837037
146.029681836	4.68768978119	6894.63232422	87	M+ACN+H	500	1.0	103.99585628
230.889698606	27.214099884	5482.01513672	75	M+H	500.0	1.0	229.882422154
417.845966546	28.7367992401	2686.42651367	76	M+H	500.0	1.0	416.838690094
104.523293786	19.6665000916	7686.85205078	77	M+H	476	0.952	103.516017334
110.008872074	28.7367992401	22018.84375	78	M+H	500.0	1.0	109.001595622
121.966184345	24.1959991455	8039.74169922	79	M+H	500.0	1.0	120.958907893
142.961772253	28.7367992401	7075.16015625	801	M+HC13	500	1.0	140.951145801
186.007171891	1.7820199728	11459.2822266	81	M+H	500.0	1.0	184.999895439
186.007126463	21.1798000336	6355.37353516	82	M+H	500.0	1.0	184.999850011
237.145847563	4.68768978119	8869.17675781	83	M+H	500.0	1.0	236.138571111
77.9988036717	30.2595005035	11829.8574219	249	M+ACN+2H	500	1.0	112.956505336
92.522319098	21.1798000336	6522.21044922	85	M+H	500.0	1.0	91.515042646
97.9688593354	27.214099884	4446.44580078	86	M+H	500.0	1.0	96.9615828834
105.003176978	4.68768978119	9489.34667969	87	M+H	500.0	1.0	103.995900526
105.003169469	25.7017002106	8399.84960938	88	M+H	500.0	1.0	103.995893017
87.0040970783	28.7367992401	8449.81347656	89	M+H	500	1.0	85.9968206263
87.0040552883	7.6602602005	3373.69946289	121	M+H+NH4	236	0.472	154.967008569
87.0040613254	16.6446990967	8138.02490234	140	M+ACN+2H	497	0.994	130.967020644
90.0052993515	28.7367992401	7137.91503906	92	M+H	500.0	1.0	88.9980228995
100.510049208	15.1393003464	7578.16796875	93	M+H	500.0	1.0	99.5027727556
100.510070591	25.7017002106	7793.20849609	94	M+H	500.0	1.0	99.5027941388
120.023543428	25.7017002106	21402.6347656	95	M+H	500.0	1.0	119.016266976
120.980803488	4.68768978119	34025.1054688	96	M+H	500.0	1.0	119.973527036
120.98081757	16.6446990967	26051.8339844	97	M+H	500.0	1.0	119.973541118
129.019902547	24.1959991455	8225.1953125	98	M+H	500.0	1.0	128.012626095
129.019909915	12.1426000595	9172.14257812	99	M+H	500.0	1.0	128.012633463
129.052008492	25.7017002106	10865.9794922	100	M+H	500.0	1.0	128.04473204
156.013948681	24.1959991455	10167.2871094	101	M+H	500.0	1.0	155.006672229
157.973838546	21.1798000336	5393.96875	102	M+H	500.0	1.0	156.966562094
182.951510486	25.7017002106	1966.40270996	103	M+H	500.0	1.0	181.944234034
234.951510988	21.1798000336	14792.6220703	104	M+H	500.0	1.0	233.944234536
83.0375497541	15.1393003464	12631.0214844	105	M+H	500.0	1.0	82.0302733021
89.5104400582	22.6900997162	5476.36230469	106	M+H	500.0	1.0	88.5031636062
96.0108767311	22.6900997162	6854.06982422	107	M+H	500.0	1.0	95.0036002791
97.0283696269	13.6365995407	4525.04492188	108	M+H	500.0	1.0	96.0210931749
97.5143477945	25.7017002106	7571.84423828	109	M+H	500.0	1.0	96.5070713425
99.5122966091	15.1393003464	22436.2148438	110	M+H	500.0	1.0	98.5050201572
99.5123117423	22.6900997162	21061.4238281	111	M+H	500	1.0	98.5050352903
140.961526488	9.14651966095	7635.87451172	112	M+H	500.0	1.0	139.954250036
304.890946399	25.7017002106	5133.14794922	113	M+H	500.0	1.0	303.883669947
79.017899452	21.1798000336	69590.109375	114	M+H	500.0	1.0	78.010623
87.0804711218	15.1393003464	6419.75097656	115	M+H	500.0	1.0	86.0731946698
87.0804676449	27.214099884	5839.70361328	116	M+H	500.0	1.0	86.0731911929
100.024349013	25.7017002106	8332.02148438	117	M+H	500.0	1.0	99.0170725613
100.02437618	15.1393003464	9224.8671875	118	M+H	500.0	1.0	99.017099728
130.016704369	21.1798000336	9120.19726562	119	M+H	500.0	1.0	129.009427917
141.127255073	4.68768978119	8597.1328125	120	M+H	500.0	1.0	140.119978621
155.974102188	12.1426000595	6761.92773438	121	M+H	500.0	1.0	154.966825736
155.974156466	21.1798000336	5944.54003906	122	M+H	500	1.0	154.966880014
171.991598145	9.14651966095	139342.609375	123	M+H	500.0	1.0	170.984321693
171.991583344	19.6665000916	116470.335938	124	M+H	500.0	1.0	170.984306892
180.135525144	21.1798000336	7243.96240234	125	M+H	500.0	1.0	179.128248692
247.943105056	34.7863998413	7609.60205078	126	M+H	500.0	1.0	246.935828604
259.166488877	30.2595005035	3884.39916992	127	M+H	500.0	1.0	258.159212425
296.965330752	36.2882003784	10531.1113281	128	M+H	500.0	1.0	295.9580543
89.503963659	13.6365995407	5822.43017578	129	M+H	500.0	1.0	88.496687207
101.096228392	12.1426000595	19695.8769531	130	M+H	500.0	1.0	100.08895194
101.096202713	22.6900997162	22394.7167969	131	M+H	500.0	1.0	100.088926261
102.010097534	30.2595005035	5963.08300781	132	M+H	500.0	1.0	101.002821082
113.09596974	9.14651966095	10831.6015625	133	M+H	500.0	1.0	112.088693288
140.995604814	30.2595005035	3290.32324219	134	M+H	500.0	1.0	139.988328362
199.000620516	21.1798000336	3310.07568359	102	M+ACN+H	500	1.0	156.966794961
287.888634637	25.7017002106	14269.9208984	136	M+H	500.0	1.0	286.881358185
85.0283511735	6.16896009445	10548.1484375	137	M+H	500.0	1.0	84.0210747215
110.059860909	36.2882003784	2952.86572266	138	M+H	500.0	1.0	109.052584457
118.047029761	36.2882003784	4015.32641602	139	M+H	500.0	1.0	117.039753309
131.974075175	19.6665000916	10642.9716797	140	M+H	500.0	1.0	130.966798723
131.974065691	12.1426000595	7479.97216797	141	M+H	500	1.0	130.966789239
144.042900279	31.7759990692	2864.64697266	142	M+H	459	0.918	143.035623827
252.962103957	21.1798000336	41480.0664062	143	M+H	500.0	1.0	251.954827505
252.962142411	4.68768978119	31310.0	144	M+H	500.0	1.0	251.954865959
317.104366216	34.7863998413	2021.05908203	145	M+H	500.0	1.0	316.097089764
91.0275291792	19.6665000916	17818.9199219	146	M+H	500.0	1.0	90.0202527272
91.5046902409	25.7017002106	10623.6074219	147	M+H	500.0	1.0	90.4974137889
91.50468453	12.1426000595	10906.3701172	148	M+H	500.0	1.0	90.497408078
102.970095269	21.1798000336	20709.1621094	149	M+H	500.0	1.0	101.962818817
126.005102507	39.3033981323	3687.10888672	150	M+H	500.0	1.0	124.997826056
155.993375134	33.2849006653	3979.71264648	3343	M+HC13	471	0.942	153.982748682
83.5358606128	21.1798000336	12386.1259766	152	M+H	500.0	1.0	82.5285841609
132.035108189	45.3387985229	9795.03125	153	M+H	500.0	1.0	131.027831737
111.080347683	6.16896009445	13134.0908203	154	M+H	500.0	1.0	110.073071231
123.116666798	9.14651966095	5888.08642578	155	M+H	500.0	1.0	122.109390347
169.04559435	6.16896009445	13712.9941406	156	M+H	500.0	1.0	168.038317898
269.920609278	39.3033981323	2873.43481445	157	M+H	500.0	1.0	268.913332826
