Peak Mass	RT	Intensity	Cluster	Transform	Freq.	Prob.	M
213.10915118	2.96749997139	8636.67773438	0	M+H	500.0	1.0	212.101874728
116.52393311	1.5334700346	27704.4707031	1	M+H	500.0	1.0	115.516656658
142.958758582	2.96749997139	8245.63085938	2	M+H	500	1.0	141.95148213
155.142792952	2.96749997139	5051.81494141	3	M+H	500.0	1.0	154.1355165
155.973867317	5.84568977356	4300.77441406	4	M+H	500.0	1.0	154.966590865
180.135190774	2.96749997139	6234.97998047	5	M+H	500.0	1.0	179.127914322
229.215902623	2.96749997139	6042.67041016	6	M+H	500.0	1.0	228.208626171
263.200119975	4.40677976608	8393.38476562	7	M+H	500.0	1.0	262.192843523
305.246259619	2.96749997139	8493.94335938	8	M+H	500.0	1.0	304.238983167
312.942345867	2.96749997139	12348.4101562	9	M+H	500.0	1.0	311.935069415
142.961575368	2.96749997139	8100.16894531	505	M+HC13	499	0.998	140.950948916
227.163639937	2.96749997139	11927.3300781	11	M+H	500.0	1.0	226.156363486
241.028881919	2.96749997139	8312.41699219	249	M+Na	485	0.97	218.039660839
325.919869925	2.96749997139	6897.8515625	13	M+H	500.0	1.0	324.912593473
366.960627648	7.28369998932	15670.6005859	14	M+H	500.0	1.0	365.953351196
73.0283391672	5.84568977356	4326.68554688	15	M+H	500.0	1.0	72.0210627153
99.0134574673	2.96749997139	6624.03662109	16	M+H	500.0	1.0	98.0061810153
102.076645246	10.1683998108	8351.44628906	17	M+H	500.0	1.0	101.069368794
129.978804455	7.28369998932	4652.140625	18	M+H	500.0	1.0	128.971528003
187.963531145	2.96749997139	7638.61083984	19	M+H	500.0	1.0	186.956254693
201.163282924	1.5334700346	18812.7832031	20	M+H	500.0	1.0	200.156006472
83.0462085828	7.28369998932	3477.21801758	21	M+H	500.0	1.0	82.0389321309
102.068195272	10.1683998108	5707.41601562	22	M+H	500.0	1.0	101.06091882
102.072459032	10.1683998108	12657.6503906	23	M+H	500.0	1.0	101.06518258
102.109716676	11.6261997223	10559.0957031	24	M+H	500.0	1.0	101.102440224
153.054256992	8.72550010681	4413.46777344	25	M+H	500.0	1.0	152.04698054
157.133246256	7.28369998932	8362.96386719	2813	M+2ACN+H	500	1.0	74.0728715978
220.050229562	5.84568977356	9752.21777344	249	M+HC13	500	1.0	218.03960311
241.215693933	1.5334700346	12567.7470703	28	M+H	500.0	1.0	240.208417481
84.0211225505	2.96749997139	4909.77246094	29	M+H	500.0	1.0	83.0138460985
84.0351777063	8.72550010681	7424.32958984	30	M+H	500.0	1.0	83.0279012543
102.075160125	10.1683998108	5701.34179688	31	M+H	500.0	1.0	101.067883673
102.078443323	10.1683998108	11633.2421875	32	M+H	500.0	1.0	101.071166871
112.119969054	2.96749997139	6170.08300781	33	M+H	500.0	1.0	111.112692602
135.043671601	7.28369998932	6994.66113281	34	M+H	500.0	1.0	134.036395149
213.18432779	1.5334700346	10494.4541016	35	M+H	500.0	1.0	212.177051338
376.059526381	2.96749997139	11493.2792969	36	M+H	500.0	1.0	375.052249929
109.100990558	1.5334700346	24782.4785156	37	M+H	500.0	1.0	108.093714106
168.918996771	2.96749997139	3983.94262695	38	M+H	500.0	1.0	167.911720319
190.028594573	8.72550010681	6833.68505859	39	M+H	500.0	1.0	189.021318121
255.231252837	1.5334700346	18669.1621094	40	M+H	500.0	1.0	254.223976385
268.211522177	10.1683998108	6964.83789062	41	M+H	500.0	1.0	267.204245725
627.140641575	7.28369998932	5702.56933594	42	M+H	500.0	1.0	626.133365123
102.103349719	8.72550010681	9488.37890625	43	M+H	500.0	1.0	101.096073267
139.962901231	2.96749997139	19822.7558594	44	M+H	500.0	1.0	138.955624779
159.137639241	2.96749997139	7819.51757812	45	M+H	500.0	1.0	158.130362789
191.127254291	11.6261997223	6467.93945312	46	M+H	500.0	1.0	190.119977839
128.070309096	7.28369998932	7951.33251953	47	M+H	500.0	1.0	127.063032644
141.127015166	11.6261997223	6660.73242188	48	M+H	500.0	1.0	140.119738714
152.127690962	15.9639997482	7809.26660156	63	M+NH4	500	1.0	134.093865407
154.485300449	5.84568977356	13983.5283203	50	M+H	500.0	1.0	153.478023997
201.148091608	1.5334700346	6695.66992188	104	M+IsoProp+H	500	1.0	140.083300279
213.10911777	10.1683998108	8220.49902344	52	M+H	499	0.998	212.101841318
85.0808919773	7.28369998932	5760.19580078	764	M+HC13	370	0.74	83.0702655253
102.050071986	10.1683998108	4699.90478516	54	M+H	500.0	1.0	101.042795534
166.985835811	15.9639997482	5887.63476562	55	M+H	500.0	1.0	165.978559359
179.106252729	5.84568977356	12943.6533203	56	M+H	500.0	1.0	178.098976277
200.995241878	2.96749997139	13189.9121094	164	M+ACN+H	500	1.0	158.961416323
88.0393062811	15.9639997482	4213.14111328	58	M+H	500.0	1.0	87.0320298291
114.054767132	17.4139003754	5793.375	59	M+H	500.0	1.0	113.04749068
143.069864474	7.28369998932	8320.17578125	60	M+H	500.0	1.0	142.062588022
93.0697660919	1.5334700346	14068.4101562	61	M+H	500.0	1.0	92.0624896399
102.098446522	15.9639997482	10750.0224609	62	M+H	500.0	1.0	101.09117007
135.101153781	15.9639997482	12731.9287109	63	M+H	500.0	1.0	134.093877329
185.127863668	14.5261001587	3166.4597168	64	M+H	500.0	1.0	184.120587216
216.949684715	17.4139003754	2157.8137207	65	M+H	500.0	1.0	215.942408263
181.12189093	17.4139003754	4805.70361328	66	M+H	500.0	1.0	180.114614478
121.064485295	4.40677976608	14194.1621094	67	M+H	500.0	1.0	120.057208843
156.013749775	10.1683998108	19201.6621094	68	M+H	500.0	1.0	155.006473323
199.093298585	18.883600235	6048.05029297	69	M+H	500.0	1.0	198.086022133
230.143875283	10.1683998108	18786.6328125	125	M+Na	499	0.998	207.154654203
243.119718543	7.28369998932	11194.0322266	71	M+H	500.0	1.0	242.112442091
255.267454771	8.72550010681	4381.93505859	72	M+H	500.0	1.0	254.260178319
186.006904046	23.3194007874	4170.73486328	73	M+H	500.0	1.0	184.999627594
149.116852558	18.883600235	4200.82714844	74	M+H	495	0.99	148.109576106
161.095661836	4.40677976608	12532.2333984	75	M+H	500.0	1.0	160.088385384
177.126882672	10.1683998108	7877.22167969	76	M+H	500.0	1.0	176.11960622
180.989368728	2.96749997139	43063.1757812	77	M+H	500.0	1.0	179.982092276
190.001850899	7.28369998932	14563.7275391	78	M+H	500.0	1.0	188.994574447
221.138042326	20.359500885	3595.64770508	79	M+H	500.0	1.0	220.130765874
250.999547937	2.96749997139	45177.5429688	80	M+H	500.0	1.0	249.992271485
83.9439748219	24.7940006256	2175.11767578	81	M+H	500.0	1.0	82.9366983699
84.1427444241	18.883600235	16212.0458984	82	M+H	500.0	1.0	83.1354679721
128.070203074	15.9639997482	7147.99560547	83	M+H	500	1.0	127.062926622
105.003009187	10.1683998108	13208.3496094	84	M+H	500.0	1.0	103.995732735
70.4474989401	2.96749997139	5756.91992188	85	M+H	500.0	1.0	69.4402224881
85.0629807535	18.883600235	4329.65429688	86	M+H	500.0	1.0	84.0557043015
124.096559534	29.2730007172	3976.25634766	87	M+H	500.0	1.0	123.089283082
153.090642265	1.5334700346	14356.046875	88	M+H	500.0	1.0	152.083365813
205.085508792	7.28369998932	24151.7988281	89	M+H	500.0	1.0	204.07823234
83.9661016431	27.7714996338	2345.20239258	90	M+H	500.0	1.0	82.9588251911
177.054189222	2.96749997139	33717.4257812	91	M+H	500.0	1.0	176.04691277
237.184362171	1.5334700346	57557.3867188	92	M+H	500.0	1.0	236.177085719
84.0369592	10.1683998108	8133.78369141	93	M+H	500.0	1.0	83.029682748
288.921482589	29.2730007172	8075.25732422	94	M+H	500.0	1.0	287.914206137
